,purity,silhouette,homogeneity,completeness,features num,model
0,0.17609682299546142,0.1594628244638443,0.09326274674110419,0.10417927914409403,10,KMeans
1,0.1664145234493192,0.10564009100198746,0.09176636187100012,0.10326981549681252,10,AgglomerativeClustering
2,0.2069591527987897,-0.06085270643234253,0.1416743157542169,0.17237992434836155,10,GaussianMixture
3,0.1697428139183056,0.14922674000263214,0.09109636656973925,0.09791556253612595,20,KMeans
4,0.16732223903177004,0.13254252076148987,0.09124114889061186,0.10636044443794113,20,AgglomerativeClustering
5,0.21149773071104389,-0.1296733170747757,0.15095865968978572,0.17014008081216006,20,GaussianMixture
6,0.16853252647503783,0.16315555572509766,0.09690805367534938,0.10957789918977308,30,KMeans
7,0.17337367624810893,0.14012616872787476,0.09333973521897279,0.10970459631180861,30,AgglomerativeClustering
8,0.2145234493192133,-0.09813456237316132,0.1421502233396293,0.17840772718774878,30,GaussianMixture
9,0.167624810892587,0.16891376674175262,0.0940258572911176,0.10399013844565333,50,KMeans
10,0.17337367624810893,0.1455874741077423,0.10062736830775221,0.11403584928805836,50,AgglomerativeClustering
11,0.21270801815431165,-0.12028328329324722,0.1409762118949653,0.17786513120591388,50,GaussianMixture
12,0.1600605143721634,0.1868983805179596,0.09039017070264575,0.10141651870223357,100,KMeans
13,0.16822995461422088,0.19172029197216034,0.09470664014327036,0.11135429328425214,100,AgglomerativeClustering
14,0.21815431164901664,-0.1344674974679947,0.13896928028998948,0.20221507507731737,100,GaussianMixture
15,0.16338880484114976,0.16611988842487335,0.09158950234334276,0.09835713250483868,150,KMeans
16,0.16671709531013615,0.18633070588111877,0.09394123164523374,0.10683611602461816,150,AgglomerativeClustering
17,0.22087745839636913,-0.26289331912994385,0.13367317436528026,0.21834486040593223,150,GaussianMixture
18,0.16187594553706505,0.22177276015281677,0.09082479045506253,0.1020341446746868,200,KMeans
19,0.16732223903177004,0.19139531254768372,0.09682019258224368,0.11008342604534373,200,AgglomerativeClustering
20,0.20121028744326777,-0.23868000507354736,0.12348049930503627,0.21380137160940965,200,GaussianMixture
21,0.1636913767019667,0.21301878988742828,0.0928542668345769,0.10326720524733861,300,KMeans
22,0.17004538577912254,0.18410071730613708,0.09825213622932107,0.1078407148740703,300,AgglomerativeClustering
23,0.19455370650529502,-0.2672998309135437,0.1280317917674504,0.24224582361141128,300,GaussianMixture
24,0.16338880484114976,0.246253103017807,0.0933387672780415,0.10645106564935883,400,KMeans
25,0.15975794251134645,0.20561619102954865,0.09424899091517781,0.10484762766941477,400,AgglomerativeClustering
26,0.18577912254160364,-0.2638225555419922,0.1137779637757048,0.23500539894536354,400,GaussianMixture
27,0.1627836611195159,0.22876061499118805,0.09251126114474206,0.1014654262379256,500,KMeans
28,0.1642965204236006,0.19761492311954498,0.0948132806778786,0.10269271850444255,500,AgglomerativeClustering
29,0.17851739788199697,-0.23025576770305634,0.10568711486254537,0.2362382327858234,500,GaussianMixture
30,0.16822995461422088,0.2247108668088913,0.09637814410492627,0.10459848462244133,550,KMeans
31,0.16671709531013615,0.20352725684642792,0.09538004252656848,0.10506951107397552,550,AgglomerativeClustering
32,0.18033282904689865,-0.25275760889053345,0.10656843946824135,0.24388809158027544,550,GaussianMixture
33,0.16187594553706505,0.233421191573143,0.09258611785977858,0.10069464594365439,600,KMeans
34,0.1670196671709531,0.2033127099275589,0.09661106110881229,0.10579704970802845,600,AgglomerativeClustering
35,0.17851739788199697,-0.26447793841362,0.10493930387114143,0.24559210709094356,600,GaussianMixture
