,purity,silhouette,homogeneity,completeness,features num,model
0,0.2732273838630807,0.2977856397628784,0.22447196060448676,0.22672590643053878,100,KMeans
1,0.27597799511002447,0.27303531765937805,0.22438108623284253,0.2338634304158508,100,AgglomerativeClustering
2,0.2674205378973105,0.23735269904136658,0.2330389049705637,0.22824591444599243,100,GaussianMixture
3,0.27292176039119803,0.2937673330307007,0.2269290854388819,0.2302414071991927,200,KMeans
4,0.27475550122249387,0.25756773352622986,0.22709938060551343,0.23600782645587537,200,AgglomerativeClustering
5,0.2778117359413203,0.21890592575073242,0.23641514372932326,0.23429667241077584,200,GaussianMixture
6,0.2741442542787286,0.2628961205482483,0.23486493877721124,0.23540685798062258,300,KMeans
7,0.27964547677261614,0.23822805285453796,0.22845738474513966,0.23282409669022358,300,AgglomerativeClustering
8,0.2716992665036675,0.23177503049373627,0.22867429350936566,0.22394070129332172,300,GaussianMixture
9,0.2778117359413203,0.26615649461746216,0.230447886581534,0.23198090137438954,400,KMeans
10,0.2726161369193154,0.23801782727241516,0.22549800305600398,0.23459560758836615,400,AgglomerativeClustering
11,0.26833740831295844,0.22062750160694122,0.2165990794550209,0.21159768804832796,400,GaussianMixture
12,0.277200488997555,0.2864983081817627,0.23336342019261758,0.2388231065571455,500,KMeans
13,0.2820904645476773,0.2561069428920746,0.22456396996911546,0.23534515598615044,500,AgglomerativeClustering
14,0.269559902200489,0.21621941030025482,0.2154579931877363,0.2152991435204506,500,GaussianMixture
15,0.2830073349633252,0.273794949054718,0.23456239046647734,0.2376426074179937,600,KMeans
16,0.2781173594132029,0.2589801847934723,0.22280294174342344,0.23585757811138697,600,AgglomerativeClustering
17,0.2710880195599022,0.21532143652439117,0.23037639952133626,0.22939187601416547,600,GaussianMixture
18,0.277200488997555,0.28709885478019714,0.22832411613379675,0.2302781466826867,700,KMeans
19,0.28056234718826406,0.2670268714427948,0.2212354144212808,0.23126552455057844,700,AgglomerativeClustering
20,0.27506112469437655,0.23072180151939392,0.2259438822524207,0.22417348495381326,700,GaussianMixture
21,0.26772616136919314,0.28890714049339294,0.22903316259639986,0.23563113645856684,800,KMeans
22,0.27536674816625917,0.26466697454452515,0.22235281384243613,0.23028507405356463,800,AgglomerativeClustering
23,0.2781173594132029,0.23115910589694977,0.2259881770362337,0.22318224277809975,800,GaussianMixture
24,0.2866748166259169,0.29110485315322876,0.2355455567713504,0.23858337512287897,900,KMeans
25,0.2741442542787286,0.26612257957458496,0.21769774883129178,0.22824506579130022,900,AgglomerativeClustering
26,0.2793398533007335,0.20211903750896454,0.23171789515561958,0.22814902964926906,900,GaussianMixture
