,purity,silhouette,homogeneity,completeness,features num,model
0,0.2704767726161369,0.27332767844200134,0.20909732750118837,0.2101494968245854,32,KMeans
1,0.27444987775061125,0.2539440095424652,0.23085634911611938,0.23255125229679968,32,AgglomerativeClustering
2,0.2658924205378973,0.2071232944726944,0.20386699524579965,0.2015185518294814,32,GaussianMixture
3,0.2820904645476773,0.24812856316566467,0.23635645814984707,0.23614133562985043,64,KMeans
4,0.277200488997555,0.232498899102211,0.23180385260789574,0.23689349201914742,64,AgglomerativeClustering
5,0.28575794621026895,0.20121337473392487,0.22683681536528186,0.2234938321591403,64,GaussianMixture
6,0.2720048899755501,0.27299708127975464,0.23497509437328626,0.23623402512243732,128,KMeans
7,0.28361858190709044,0.27238360047340393,0.2366880028023671,0.24065130415012412,128,AgglomerativeClustering
8,0.2591687041564792,0.2451760619878769,0.2306692657907158,0.22957234065160198,128,GaussianMixture
9,0.2830073349633252,0.27896884083747864,0.24314834299124566,0.24535214949208778,256,KMeans
10,0.2765892420537897,0.2727959156036377,0.2277655448164449,0.2363399549202555,256,AgglomerativeClustering
11,0.25244498777506114,0.25113794207572937,0.2169123850278236,0.21333198861982214,256,GaussianMixture
12,0.2839242053789731,0.26415523886680603,0.23974282141670739,0.24429476374184267,512,KMeans
13,0.28117359413202936,0.2722585201263428,0.22623406293106396,0.2362965180501241,512,AgglomerativeClustering
14,0.26772616136919314,0.2581195533275604,0.22782570214434356,0.22463265796739043,512,GaussianMixture
15,0.26986552567237165,0.2669946849346161,0.22886856477992948,0.23339884311009407,1024,KMeans
16,0.26619804400978,0.2756302058696747,0.22365402657305358,0.22876713871636728,1024,AgglomerativeClustering
17,0.26405867970660146,0.2386508584022522,0.22635189472871223,0.22554787181480948,1024,GaussianMixture
18,0.2713936430317848,0.2794768214225769,0.233523392798293,0.23517134420480026,2048,KMeans
19,0.26619804400978,0.2773049771785736,0.22289846349235823,0.2269106190860275,2048,AgglomerativeClustering
